enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
10746,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Pvt Ltd,0.0
12582,city_27,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Early Stage Startup,0.0
227,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,0.0
30955,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,NGO,1.0
29549,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,0.0
11939,city_50,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,NGO,0.0
14256,city_103,Male,No relevent experience,Part time course,Graduate,STEM,2,10/49,Pvt Ltd,0.0
11454,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
23598,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
30091,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
20136,city_36,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
2856,city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
21021,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,0.0
986,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,0.0
33155,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1.0
8840,city_91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,1.0
11182,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,0.0
19994,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Public Sector,0.0
28345,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,0.0
21149,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
7062,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,0.0
19575,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
31689,city_104,Male,No relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,0.0
20555,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
33113,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,19,50-99,Funded Startup,0.0
7348,city_67,Male,No relevent experience,Full time course,Graduate,STEM,3,1000-4999,Pvt Ltd,0.0
23853,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,0.0
4415,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,0.0
14569,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1.0
8857,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Early Stage Startup,0.0
26422,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,0.0
596,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,0.0
6228,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
24284,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1.0
9949,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
13353,city_173,Male,Has relevent experience,no_enrollment,Masters,Humanities,6,10000+,Pvt Ltd,0.0
6489,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,0.0
17220,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1.0
22546,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,0.0
21590,city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1.0
33268,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,0.0
12754,city_136,Male,No relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,0.0
3456,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,1.0
9419,city_45,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,0.0
24624,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,0.0
8074,city_24,Male,Has relevent experience,no_enrollment,Graduate,Other,2,1000-4999,Pvt Ltd,0.0
5327,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,0.0
24459,city_103,Male,Has relevent experience,Part time course,Masters,STEM,15,500-999,Public Sector,0.0
12477,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Pvt Ltd,0.0
20402,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,1.0
19844,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Public Sector,0.0
16579,city_27,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Funded Startup,0.0
15146,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,10/49,Pvt Ltd,1.0
16857,city_136,Male,No relevent experience,no_enrollment,Phd,STEM,12,5000-9999,Public Sector,1.0
20733,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,0.0
15154,city_78,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1.0
4487,city_105,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,0.0
28011,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,0.0
11704,city_104,Male,Has relevent experience,Full time course,Graduate,STEM,15,500-999,NGO,0.0
23268,city_41,Male,Has relevent experience,Full time course,Graduate,STEM,17,50-99,Pvt Ltd,1.0
29023,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0.0
10179,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Funded Startup,0.0
31598,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,0.0
11364,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
12958,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1.0
19789,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,13,50-99,Pvt Ltd,1.0
23622,city_114,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,1.0
21602,city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
3436,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,0.0
22623,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
31769,city_36,Male,No relevent experience,no_enrollment,Masters,STEM,8,50-99,NGO,0.0
4689,city_114,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11,1000-4999,Pvt Ltd,0.0
5565,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,1.0
32814,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,0.0
25903,city_165,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,100-500,Pvt Ltd,0.0
33096,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
12125,city_10,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
20370,city_165,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1.0
9096,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
13938,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,0.0
17972,city_40,Male,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,0.0
4023,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,NGO,0.0
12566,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10/49,Early Stage Startup,0.0
15416,city_36,Male,No relevent experience,no_enrollment,Masters,Business Degree,11,100-500,Pvt Ltd,0.0
25868,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1.0
31121,city_11,Male,No relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,0.0
13515,city_76,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
31897,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,0.0
12882,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,0.0
22242,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Public Sector,1.0
19749,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Pvt Ltd,0.0
22432,city_123,Male,Has relevent experience,no_enrollment,Masters,STEM,10,5000-9999,Pvt Ltd,0.0
30422,city_59,Male,Has relevent experience,Part time course,Graduate,STEM,>20,5000-9999,Public Sector,0.0
27000,city_136,Male,Has relevent experience,no_enrollment,Masters,Other,12,50-99,Funded Startup,0.0
26945,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,0.0
22400,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1.0
5155,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6,<10,Pvt Ltd,0.0
21665,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
21914,city_103,Male,No relevent experience,Full time course,Graduate,STEM,6,100-500,NGO,0.0
14744,city_114,Male,Has relevent experience,Part time course,Masters,STEM,11,50-99,Pvt Ltd,0.0
25910,city_105,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,0.0
11134,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
26039,city_103,Male,No relevent experience,Full time course,Graduate,STEM,1,1000-4999,Public Sector,1.0
1473,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,0.0
9873,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,0.0
26516,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,0.0
32999,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,1.0
20920,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,0.0
10524,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,0.0
10529,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,<10,Pvt Ltd,0.0
13941,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,0.0
26718,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,11,1000-4999,NGO,0.0
5695,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,0.0
31928,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,0.0
22476,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,NGO,0.0
32927,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Public Sector,0.0
20871,city_72,Male,Has relevent experience,Part time course,Graduate,STEM,9,100-500,Pvt Ltd,0.0
20445,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,0.0
13845,city_78,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,0.0
15767,city_136,Male,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,0.0
20649,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,0.0
3692,city_46,Male,Has relevent experience,Part time course,Graduate,STEM,12,500-999,Pvt Ltd,0.0
26778,city_21,Male,Has relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1.0
5195,city_61,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
31771,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,0.0
8242,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1.0
17530,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,16,500-999,Pvt Ltd,0.0
5349,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
822,city_57,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,1.0
6024,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
2040,city_89,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,1.0
28301,city_160,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
16739,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Early Stage Startup,1.0
901,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,0.0
17044,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
30661,city_54,Male,No relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,0.0
19379,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,0.0
8867,city_114,Male,No relevent experience,Full time course,Graduate,STEM,10,<10,Pvt Ltd,0.0
20003,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,0.0
1689,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
26284,city_103,Male,No relevent experience,Full time course,Graduate,Business Degree,7,1000-4999,Pvt Ltd,0.0
4843,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Early Stage Startup,0.0
12425,city_136,Male,No relevent experience,no_enrollment,Phd,STEM,>20,500-999,Public Sector,0.0
18613,city_102,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,0.0
21639,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,0.0
15547,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,0.0
4604,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,0.0
11163,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,NGO,0.0
32804,city_149,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Early Stage Startup,0.0
18274,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Funded Startup,0.0
16012,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,0.0
23731,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,0.0
10812,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10000+,Pvt Ltd,1.0
15997,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,0.0
32654,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
200,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,1.0
16938,city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,0.0
29774,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0.0
21220,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
23556,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Other,0.0
1468,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Other,0.0
33242,city_73,Male,No relevent experience,Part time course,Graduate,STEM,8,<10,Early Stage Startup,0.0
12249,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0.0
21170,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,1.0
14330,city_115,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,0.0
24478,city_83,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,0.0
22943,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
18807,city_50,Male,Has relevent experience,no_enrollment,Masters,Humanities,18,5000-9999,NGO,0.0
5317,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,0.0
22087,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
2764,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,0.0
26770,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1.0
32103,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Funded Startup,0.0
20982,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,0.0
2403,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
9540,city_158,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,0.0
13588,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,0.0
24491,city_141,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
31692,city_160,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
8428,city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,1.0
17381,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,0.0
14211,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,0.0
219,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,13,50-99,Pvt Ltd,0.0
2020,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
5450,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,15,100-500,Pvt Ltd,0.0
22950,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,0.0
17227,city_80,Male,No relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,0.0
32463,city_36,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,0.0
20100,city_160,Male,No relevent experience,Part time course,Graduate,STEM,4,10/49,Pvt Ltd,0.0
2756,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
27580,city_19,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
3284,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,0.0
28182,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Public Sector,0.0
30896,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
19948,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,5,10000+,Pvt Ltd,0.0
28087,city_23,Male,Has relevent experience,Part time course,Graduate,STEM,7,<10,Early Stage Startup,0.0
32674,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0.0
31539,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,0.0
1472,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
8079,city_103,Male,No relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,0.0
31022,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,9,50-99,Pvt Ltd,0.0
26027,city_75,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,0.0
10507,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
4964,city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Other,0.0
6716,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,0.0
11528,city_16,Male,Has relevent experience,no_enrollment,Graduate,No Major,18,100-500,Pvt Ltd,0.0
2410,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,0.0
15080,city_53,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,Pvt Ltd,0.0
24300,city_84,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,0.0
32592,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0.0
11774,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,0.0
27613,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10/49,Pvt Ltd,0.0
27197,city_16,Male,No relevent experience,no_enrollment,Graduate,Humanities,>20,10000+,Pvt Ltd,0.0
24046,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
33059,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1.0
29776,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,1.0
25944,city_104,Male,No relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
26098,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,0.0
22728,city_13,Male,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,0.0
4580,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Early Stage Startup,1.0
6663,city_91,Male,Has relevent experience,Full time course,Graduate,STEM,3,<10,Pvt Ltd,0.0
24671,city_103,Male,No relevent experience,no_enrollment,Masters,Humanities,20,100-500,NGO,0.0
17864,city_16,Male,Has relevent experience,Part time course,Masters,STEM,>20,50-99,Funded Startup,0.0
13540,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,0.0
21207,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,5,50-99,Pvt Ltd,0.0
28716,city_93,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Funded Startup,0.0
